15578722,1,19.42,1.5,1,13,4,2,1,0,0,1,2,100,21,0
15815095,0,22.58,10.75,2,11,4,0.415,1,1,5,1,2,0,561,1
15730360,1,39.92,6.21,2,11,4,0.04,1,1,1,0,2,200,301,1
15763194,1,22.67,0.165,2,8,3,2.25,0,0,0,1,1,0,1,1
15720725,0,23.42,0.79,1,11,4,1.5,1,1,2,1,2,80,401,1
15567834,0,30,5.29,2,10,2,2.25,1,1,5,1,2,99,501,1
15720644,0,40.33,7.54,1,11,8,8,1,1,14,0,2,0,2301,1
15811742,0,36.75,5.125,2,10,4,5,1,0,0,1,2,0,4001,1
15813363,1,31,2.085,2,8,4,0.085,0,0,0,0,2,300,1,0
15717629,0,25.17,2.875,2,14,8,0.875,1,0,0,0,2,360,1,1
15713160,1,27.42,12.5,2,6,5,0.25,0,0,0,1,2,720,1,0
15568878,1,31.57,4,2,14,4,5,1,1,3,1,2,290,2280,1
15809800,1,34.08,6.5,2,6,4,0.125,1,0,0,1,2,443,1,0
15736420,1,22.08,2.335,2,4,4,0.75,0,0,0,0,2,180,1,0
15757933,1,31.08,3.085,2,8,4,2.5,0,1,2,1,2,160,42,0
15623072,1,31.57,0.5,2,8,5,0.835,1,0,0,1,1,320,1,0
15683993,1,16,3.125,2,9,4,0.085,0,1,1,0,2,0,7,0
15570947,1,27.25,1.665,2,13,8,5.085,1,1,9,0,2,399,828,1
15797767,1,25.17,3,2,8,4,1.25,0,1,1,0,2,0,23,0
15731989,1,67.75,5.5,2,10,9,13,1,1,1,1,2,0,1,1
15591035,0,18.83,9.5,2,9,4,1.625,1,1,6,1,2,40,601,1
15586479,0,27.25,0.29,2,7,8,0.125,0,1,1,1,2,272,109,0
15605872,0,19.58,0.665,1,8,4,1,0,1,1,0,2,2000,3,0
15666012,1,30.75,1.585,2,2,4,0.585,0,0,0,1,1,0,1,0
15641733,0,50.25,0.835,2,6,4,0.5,0,0,0,1,2,240,118,0
15593178,1,31.08,1.5,1,9,4,0.04,0,0,0,0,1,160,1,0
15649183,1,51.58,15,2,8,4,8.5,1,1,9,0,2,0,1,1
15736399,0,36.58,0.29,2,1,1,0,0,1,10,0,2,200,19,0
15751137,1,33.58,2.75,2,7,4,4.25,1,1,6,0,2,204,1,1
15757188,0,20.83,3,2,6,4,0.04,1,0,0,0,2,100,1,1
15726167,1,36.17,18.125,2,9,4,0.085,0,0,0,0,2,320,3553,0
15624850,1,50.75,0.585,2,1,1,0,0,0,0,0,2,145,1,0
15717700,0,23.58,0.83,2,11,4,0.415,0,1,1,1,2,200,12,0
15716347,1,35.17,4.5,2,14,8,5.75,0,0,0,1,1,711,1,1
15696287,0,58.42,21,2,3,5,10,1,1,13,0,2,0,6701,1
15638871,1,28.25,0.875,2,7,4,0.96,1,1,3,1,2,396,1,1
15765093,1,31.57,0.625,2,4,4,0.25,0,0,0,0,2,380,2011,0
15592999,0,31.75,3,1,5,3,0,0,0,0,0,2,160,21,0
15641715,1,19.42,6.5,2,9,8,1.46,1,1,7,0,2,80,2955,1
15607746,1,39.08,6,2,7,4,1.29,1,1,5,1,2,108,1098,1
15625311,1,17.08,3.29,2,3,4,0.335,0,0,0,1,2,140,3,0
15573077,1,44.83,7,1,8,4,1.625,0,0,0,0,2,160,3,0
15735106,1,16.25,0,1,6,4,0.25,0,0,0,0,2,60,1,0
15672912,0,41.17,6.5,2,11,4,0.5,1,1,3,1,2,145,1,1
15589881,1,28.92,15,2,8,8,5.335,1,1,11,0,2,0,2284,1
15660144,0,26.17,2,2,5,3,0,0,0,0,1,2,276,2,0
15664083,1,38.58,3.335,2,9,4,4,1,1,14,0,2,383,1345,1
15690898,1,25.17,6,2,8,4,1,1,1,3,0,2,0,1,1
15808023,0,28.17,0.375,2,11,4,0.585,1,1,4,0,2,80,1,1
15676909,1,73.42,17.75,2,1,1,0,1,0,0,1,2,0,1,1
15764922,1,22.5,11.5,1,7,4,1.5,0,0,0,1,2,0,4001,0
15766734,0,27.17,1.25,2,1,1,0,0,1,1,0,2,92,301,0
15795079,0,19.17,8.585,2,13,8,0.75,1,1,7,0,2,96,1,1
15757434,0,25.58,0,2,8,4,0,0,0,0,0,3,184,1,1
15673747,1,31.57,0.04,1,2,4,4.25,0,0,0,1,2,460,1,0
